lake,river_name,size,class,attribute,slug,attribute_type
Zürichsee,Reidbach,10,10,Fluss_U,zuerichsee_waedenswil_colomboc_1,river intersection
Zürichsee,Sarenbach,9,9,Fluss,pfafikon-bad,river intersection
Zürichsee,Staldenbach,9,9,Fluss,pfafikon-bad,river intersection
Zürichsee,Sarenbach,9,9,Fluss,pfafikon-bad,river intersection
Zürichsee,Staldenbach,9,9,Fluss,pfafikon-bad,river intersection
Zürichsee,Alt Linth,17,7,Fluss,schmerikon-bahnhof-strand,river intersection
Zürichsee,Alt Linth,17,7,Fluss,aabach,river intersection
Zürichsee,Alt Linth,17,7,Fluss,schmerikon-bahnhof-strand,river intersection
Zürichsee,Alt Linth,17,7,Fluss,aabach,river intersection
Zürichsee,Linthkanal,5,5,Fluss,schmerikon-bahnhof-strand,river intersection
Zürichsee,Linthkanal,5,5,Fluss,aabach,river intersection
Zürichsee,Steinenbach,17,7,Fluss,schmerikon-bahnhof-strand,river intersection
Zürichsee,Steinenbach,17,7,Fluss,aabach,river intersection
Zürichsee,Linthkanal,5,5,Fluss,schmerikon-bahnhof-strand,river intersection
Zürichsee,Linthkanal,5,5,Fluss,aabach,river intersection
Zürichsee,Aabach,7,8,Fluss,schmerikon-bahnhof-strand,river intersection
Zürichsee,Aabach,7,8,Fluss,aabach,river intersection
Zürichsee,Steinenbach,17,7,Fluss,schmerikon-bahnhof-strand,river intersection
Zürichsee,Steinenbach,17,7,Fluss,aabach,river intersection
Zürichsee,Aabach,7,8,Fluss,schmerikon-bahnhof-strand,river intersection
Zürichsee,Aabach,7,8,Fluss,aabach,river intersection
Zürichsee,Wagnerbach,9,9,Fluss,rastplatz-stampf,river intersection
Zürichsee,Wagnerbach,9,9,Fluss,jona-river-rastplatz,river intersection
Zürichsee,Wagnerbach,9,9,Fluss,strandbeiz,river intersection
Zürichsee,Jona,7,7,Fluss,rastplatz-stampf,river intersection
Zürichsee,Jona,7,7,Fluss,jona-river-rastplatz,river intersection
Zürichsee,Jona,7,7,Fluss,strandbeiz,river intersection
Zürichsee,Wagnerbach,9,9,Fluss,rastplatz-stampf,river intersection
Zürichsee,Wagnerbach,9,9,Fluss,jona-river-rastplatz,river intersection
Zürichsee,Wagnerbach,9,9,Fluss,strandbeiz,river intersection
Lago di Lugano,Cassarate,7,7,Fluss,foce-del-cassarate,river intersection
Lago di Lugano,Cassarate,7,7,Fluss,lido,river intersection
Lago di Lugano,Cassarate,7,7,Fluss,lugano-centro,river intersection
Lago di Lugano,Cassarate,7,7,Fluss,spiaggia-parco-ciani,river intersection
Lago di Lugano,Cassarate,7,7,Fluss,foce-del-cassarate,river intersection
Lago di Lugano,Cassarate,7,7,Fluss,lido,river intersection
Lago di Lugano,Cassarate,7,7,Fluss,lugano-centro,river intersection
Lago di Lugano,Cassarate,7,7,Fluss,spiaggia-parco-ciani,river intersection
Bielersee,La Thielle,6,6,Fluss,mullermatte,river intersection
Bielersee,La Thielle,6,6,Fluss,strandboden-biel,river intersection
Bielersee,La Thielle,6,6,Fluss,nidau-strand,river intersection
Bielersee,La Suze,7,7,Fluss,mullermatte,river intersection
Bielersee,La Suze,7,7,Fluss,strandboden-biel,river intersection
Bielersee,La Suze,7,7,Fluss,nidau-strand,river intersection
Bielersee,Aare,14,4,Fluss,mullermatte,river intersection
Bielersee,Aare,14,4,Fluss,strandboden-biel,river intersection
Bielersee,Aare,14,4,Fluss,nidau-strand,river intersection
Bielersee,Aare,14,4,Fluss,mullermatte,river intersection
Bielersee,Aare,14,4,Fluss,strandboden-biel,river intersection
Bielersee,Aare,14,4,Fluss,nidau-strand,river intersection
Bielersee,La Thielle,6,6,Fluss,mullermatte,river intersection
Bielersee,La Thielle,6,6,Fluss,strandboden-biel,river intersection
Bielersee,La Thielle,6,6,Fluss,nidau-strand,river intersection
Zugersee,Lorze,6,5,Fluss,zugerseecholler_cham_blarerm,river intersection
Zugersee,Lorze,6,5,Fluss,zugerseecholler_cham_blarerm,river intersection
Zugersee,Lorze,6,5,Fluss,zugerseecholler_cham_blarerm,river intersection
Zugersee,Lorze,6,5,Fluss,zugerseecholler_cham_blarerm,river intersection
Lac de Neuchâtel,Le Seyon,8,8,Fluss,evole-plage,river intersection
Lac de Neuchâtel,Le Seyon,8,8,Fluss,plage-de-serriere,river intersection
Lac de Neuchâtel,Le Seyon,8,8,Fluss,evole-plage,river intersection
Lac de Neuchâtel,Le Seyon,8,8,Fluss,plage-de-serriere,river intersection
Lac de Neuchâtel,L'Areuse,7,7,Fluss,pointe-dareuse,river intersection
Lac de Neuchâtel,Le Vivier,9,7,Fluss,pointe-dareuse,river intersection
Lac de Neuchâtel,L'Areuse,7,7,Fluss,pointe-dareuse,river intersection
Lac de Neuchâtel,Le Vivier,9,7,Fluss,pointe-dareuse,river intersection
Lac de Neuchâtel,La Brine,9,9,Fluss,signalpain,river intersection
Lac de Neuchâtel,La Brine,9,9,Fluss,pecos-plage,river intersection
Lac de Neuchâtel,Le Bey,9,9,Fluss,signalpain,river intersection
Lac de Neuchâtel,Le Bey,9,9,Fluss,pecos-plage,river intersection
Lac de Neuchâtel,La Brine,9,9,Fluss,signalpain,river intersection
Lac de Neuchâtel,La Brine,9,9,Fluss,pecos-plage,river intersection
Lac de Neuchâtel,Le Bey,9,9,Fluss,signalpain,river intersection
Lac de Neuchâtel,Le Bey,9,9,Fluss,pecos-plage,river intersection
Lac de Neuchâtel,La Thielle,6,6,Fluss,la-petite-plage,river intersection
Lac de Neuchâtel,La Thielle,6,6,Fluss,signalpain,river intersection
Lac de Neuchâtel,Canal Oriental,18,8,Fluss,la-petite-plage,river intersection
Lac de Neuchâtel,Canal Oriental,18,8,Fluss,signalpain,river intersection
Lac de Neuchâtel,La Thielle,6,6,Fluss,la-petite-plage,river intersection
Lac de Neuchâtel,La Thielle,6,6,Fluss,signalpain,river intersection
Lac de Neuchâtel,Le Buron,8,8,Fluss,la-petite-plage,river intersection
Lac de Neuchâtel,Le Buron,8,8,Fluss,signalpain,river intersection
Lac de Neuchâtel,Canal Oriental,18,8,Fluss,la-petite-plage,river intersection
Lac de Neuchâtel,Canal Oriental,18,8,Fluss,signalpain,river intersection
Lac de Neuchâtel,Le Buron,8,8,Fluss,la-petite-plage,river intersection
Lac de Neuchâtel,Le Buron,8,8,Fluss,signalpain,river intersection
Lac de Neuchâtel,Ruisseau de Crêt Moron,10,10,Fluss,nouvelle-plage,river intersection
Lac de Neuchâtel,Ruisseau de Crêt Moron,10,10,Fluss,nouvelle-plage,river intersection
Lac de Neuchâtel,Ruisseau de la Molliette,9,9,Fluss,impromptu_cudrefin,river intersection
Lac de Neuchâtel,Ruisseau de la Molliette,9,9,Fluss,neuenburgersee_cudrefin_mattera,river intersection
Lac de Neuchâtel,Ruisseau de la Molliette,9,9,Fluss,impromptu_cudrefin,river intersection
Lac de Neuchâtel,Ruisseau de la Molliette,9,9,Fluss,neuenburgersee_cudrefin_mattera,river intersection
Thunersee,Schifffahrtskanal,20,10,Fluss,weissenau-neuhaus,river intersection
Thunersee,Aare,5,4,Fluss,weissenau-neuhaus,river intersection
Thunersee,Lombach,7,7,Fluss,weissenau-neuhaus,river intersection
Thunersee,Lombach,7,7,Fluss,sundbach-strand,river intersection
Thunersee,Aare,5,4,Fluss,weissenau-neuhaus,river intersection
Thunersee,Lombach,7,7,Fluss,weissenau-neuhaus,river intersection
Thunersee,Lombach,7,7,Fluss,sundbach-strand,river intersection
Thunersee,not available,9,9,Fluss,sundbach-strand,river intersection
Thunersee,not available,9,9,Fluss,sundbach-strand,river intersection
Thunersee,not available,10,10,Fluss,sundbach-strand,river intersection
Thunersee,not available,10,10,Fluss,sundbach-strand,river intersection
Thunersee,Chrutbach,10,10,Fluss,sundbach-strand,river intersection
Thunersee,Chrutbach,10,10,Fluss,sundbach-strand,river intersection
Thunersee,Hünibach,9,9,Fluss,thun-strandbad,river intersection
Thunersee,Aare,5,4,Fluss,thun-strandbad,river intersection
Thunersee,Hünibach,9,9,Fluss,thun-strandbad,river intersection
Thunersee,Kander,5,5,Fluss,delta-park,river intersection
Thunersee,Kander,5,5,Fluss,camping-gwatt-strand,river intersection
Thunersee,Aare,5,4,Fluss,thun-strandbad,river intersection
Thunersee,Kander,5,5,Fluss,delta-park,river intersection
Thunersee,Kander,5,5,Fluss,camping-gwatt-strand,river intersection
Thunersee,Schifffahrtskanal,20,10,Fluss,weissenau-neuhaus,river intersection
Bielersee,Mülibach,10,10,Fluss,bielersee_vinelz_fankhausers,river intersection
Bielersee,Mülibach,10,10,Fluss,erlach-camping-strand,river intersection
Bielersee,La Suze,7,7,Fluss,mullermatte,river intersection
Bielersee,La Suze,7,7,Fluss,strandboden-biel,river intersection
